GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
orchestrator,com.nextime.orchestrator.infrastructure.exception,MessagePublishException,0,9,0,0,0,3,0,1,0,1
orchestrator,com.nextime.orchestrator.infrastructure.exception,MessageConsumeException,0,11,0,0,0,2,0,1,0,1
orchestrator,com.nextime.orchestrator.infrastructure.controller.exception,ExceptionGlobalHandler,0,173,0,0,0,37,0,10,0,10
orchestrator,com.nextime.orchestrator.infrastructure.adapters,LoggerAdapter,0,85,0,0,0,12,0,6,0,6
orchestrator,com.nextime.orchestrator.domain.services,SagaExecutionService,9,106,5,13,2,16,5,9,0,5
orchestrator,com.nextime.orchestrator.infrastructure.messaging.producer,SagaOrchestratorProducer,2,69,1,1,0,16,1,3,0,3
orchestrator,com.nextime.orchestrator.domain,Event,12,125,0,0,0,12,0,14,0,14
orchestrator,com.nextime.orchestrator.domain,SagaHandler,0,112,0,0,0,45,0,2,0,2
orchestrator,com.nextime.orchestrator.domain,Order,0,106,0,0,0,11,0,11,0,11
orchestrator,com.nextime.orchestrator.domain,History,0,45,0,0,0,6,0,6,0,6
orchestrator,com.nextime.orchestrator.domain,OrderItem,6,21,0,0,0,4,2,2,2,2
orchestrator,com.nextime.orchestrator.domain,Product,3,27,0,0,0,4,1,3,1,3
orchestrator,com.nextime.orchestrator.domain.enums,EPaymentStatus,3,36,0,0,0,4,1,2,1,2
orchestrator,com.nextime.orchestrator.domain.enums,EQueues,0,60,0,0,0,7,0,3,0,3
orchestrator,com.nextime.orchestrator.domain.enums,ESagaStatus,0,39,0,0,0,4,0,3,0,3
orchestrator,com.nextime.orchestrator.domain.enums,EEventSource,0,39,0,0,0,4,0,3,0,3
orchestrator,com.nextime.orchestrator.domain.exception,SagaStepNotFoundException,0,12,0,0,0,2,0,1,0,1
orchestrator,com.nextime.orchestrator.domain.exception,SagaConfigurationException,0,7,0,0,0,1,0,1,0,1
orchestrator,com.nextime.orchestrator.utils,JsonConverter,16,59,0,0,6,18,0,3,0,3
orchestrator,com.nextime.orchestrator,OrchestratorApplication,0,3,0,0,0,1,0,1,0,1
orchestrator,com.nextime.orchestrator,OrchestratorApplicationKt,12,0,0,0,2,0,1,0,1,0
orchestrator,com.nextime.orchestrator.application.exception,SagaProcessingException,0,18,0,0,0,3,0,2,0,2
orchestrator,com.nextime.orchestrator.application.exception,InvalidSagaEventException,0,16,0,0,0,3,0,2,0,2
orchestrator,com.nextime.orchestrator.application.exception,InvalidSagaStateException,0,7,0,0,0,1,0,1,0,1
orchestrator,com.nextime.orchestrator.application.usecases,OrchestrationUseCaseImpl,56,279,15,3,6,67,9,11,1,10
orchestrator,com.nextime.orchestrator.infrastructure.messaging.consumer,SagaOrchestratorConsumer,29,83,0,0,6,18,1,4,1,4
orchestrator,com.nextime.orchestrator.application.config.sqs,SqsConfig,9,24,0,0,3,8,1,2,1,2
